Date,Close,Volume
2002-09-02,4.099999904632568,100
2002-09-03,4.099999904632568,0
2002-09-04,4.099999904632568,0
2002-09-05,4.099999904632568,0
2002-09-06,4.099999904632568,0
2002-09-09,4.099999904632568,0
2002-09-10,4.099999904632568,0
2002-09-11,4.099999904632568,0
2002-09-12,4.099999904632568,0
2002-09-13,4.099999904632568,0
2002-09-16,4.099999904632568,0
2002-09-17,4.099999904632568,0
2002-09-18,4.099999904632568,0
2002-09-19,4.099999904632568,0
2002-09-20,4.099999904632568,0
2002-09-23,4.099999904632568,0
2002-09-24,4.099999904632568,0
2002-09-25,4.099999904632568,0
2002-09-26,4.099999904632568,0
2002-09-27,4.099999904632568,0
2002-09-30,4.099999904632568,0
2002-10-01,4.099999904632568,0
2002-10-02,4.099999904632568,0
2002-10-03,4.099999904632568,0
2002-10-04,4.099999904632568,0
2002-10-07,4.099999904632568,0
2002-10-08,4.099999904632568,0
2002-10-09,4.099999904632568,0
2002-10-10,4.099999904632568,0
2002-10-11,4.099999904632568,0
2002-10-14,4.099999904632568,0
2002-10-15,4.099999904632568,0
2002-10-16,4.099999904632568,0
2002-10-17,4.099999904632568,0
2002-10-18,4.099999904632568,0
2002-10-21,4.099999904632568,0
2002-10-22,4.099999904632568,0
2002-10-23,4.099999904632568,0
2002-10-24,4.099999904632568,0
2002-10-25,4.099999904632568,0
2002-10-28,4.099999904632568,0
2002-10-29,4.099999904632568,0
2002-10-30,4.099999904632568,0
2002-10-31,4.099999904632568,0
2002-11-01,4.099999904632568,0
2002-11-04,4.099999904632568,0
2002-11-05,4.099999904632568,0
2002-11-06,4.099999904632568,0
2002-11-07,4.099999904632568,0
2002-11-08,4.099999904632568,0
2002-11-11,4.099999904632568,0
2002-11-12,4.099999904632568,0
2002-11-13,4.099999904632568,0
2002-11-14,4.099999904632568,0
2002-11-15,4.099999904632568,0
2002-11-18,4.099999904632568,0
2002-11-19,4.099999904632568,0
2002-11-20,4.099999904632568,0
2002-11-21,4.099999904632568,0
2002-11-22,4.099999904632568,0
2002-11-25,4.099999904632568,0
2002-11-26,4.099999904632568,0
2002-11-27,4.099999904632568,0
2002-11-28,4.099999904632568,0
2002-11-29,4.099999904632568,0
2002-12-02,4.099999904632568,0
2002-12-03,4.099999904632568,0
2002-12-04,4.099999904632568,0
2002-12-05,4.099999904632568,0
2002-12-06,4.099999904632568,0
2002-12-09,4.099999904632568,0
2002-12-10,4.099999904632568,0
2002-12-11,4.099999904632568,0
2002-12-12,4.099999904632568,0
2002-12-13,4.099999904632568,0
2002-12-16,4.099999904632568,0
2002-12-17,4.099999904632568,0
2002-12-18,4.099999904632568,0
2002-12-19,4.099999904632568,0
2002-12-20,4.099999904632568,0
2002-12-23,4.099999904632568,0
2002-12-24,4.099999904632568,0
