Date,Close,Volume
2002-08-15,2.5859179496765137,0
2002-09-10,2.30743408203125,0
2002-10-01,2.2707109451293945,0
2002-10-02,2.2707109451293945,0
2002-10-03,2.2707109451293945,0
2002-10-04,2.2707109451293945,0
2002-10-07,2.2707109451293945,0
2002-10-08,2.2707109451293945,0
2002-10-09,2.2707109451293945,0
2002-10-10,2.2707109451293945,0
2002-10-11,2.2707109451293945,0
2002-10-14,2.2707109451293945,0
2002-10-15,2.2707109451293945,0
2002-10-16,2.2707109451293945,0
2002-10-17,2.2707109451293945,0
2002-10-18,2.2707109451293945,0
2002-10-21,2.2707109451293945,0
2002-10-22,2.2707109451293945,0
2002-10-23,2.2707109451293945,0
2002-10-24,2.2707109451293945,0
2002-10-25,2.2707109451293945,0
2002-10-28,2.2707109451293945,0
2002-10-29,2.2707109451293945,0
2002-10-30,2.2707109451293945,0
2002-10-31,2.2707109451293945,0
2002-11-01,2.2707109451293945,0
2002-11-04,2.2707109451293945,0
2002-11-05,2.2707109451293945,0
2002-11-06,2.2707109451293945,0
2002-11-07,2.2707109451293945,0
2002-11-08,2.2707109451293945,0
2002-11-11,2.2707109451293945,0
2002-11-12,2.2707109451293945,0
2002-11-13,2.2707109451293945,0
2002-11-14,2.2707109451293945,0
2002-11-15,2.2707109451293945,0
2002-11-18,2.2707109451293945,0
2002-11-19,2.2707109451293945,0
2002-11-20,2.2707109451293945,0
2002-11-21,2.2707109451293945,0
2002-11-22,2.2707109451293945,0
2002-11-25,2.2707109451293945,0
2002-11-26,2.2707109451293945,0
2002-11-27,2.2707109451293945,0
2002-11-28,2.2707109451293945,0
2002-11-29,2.2707109451293945,0
2002-12-02,2.2707109451293945,0
2002-12-03,2.2707109451293945,0
2002-12-04,2.2707109451293945,0
2002-12-05,2.2707109451293945,0
2002-12-06,2.2707109451293945,0
2002-12-09,2.2707109451293945,0
2002-12-10,2.2707109451293945,0
2002-12-11,2.2707109451293945,0
2002-12-12,2.2707109451293945,0
2002-12-13,2.2707109451293945,0
2002-12-16,2.2707109451293945,0
2002-12-17,2.2707109451293945,0
2002-12-18,2.2707109451293945,0
2002-12-19,2.2707109451293945,0
2002-12-20,2.2707109451293945,0
2002-12-23,2.2707109451293945,0
2002-12-24,2.2707109451293945,0
2002-12-25,2.2707109451293945,0
2002-12-26,2.2707109451293945,0
2002-12-27,2.2707109451293945,0
2002-12-30,2.2707109451293945,0
2002-12-31,2.2707109451293945,0
2003-01-01,2.2707109451293945,0
2003-01-02,2.2707109451293945,0
2003-01-03,2.2707109451293945,0
2003-01-06,2.2707109451293945,0
2003-01-07,2.2707109451293945,0
2003-01-08,2.2707109451293945,0
2003-01-09,2.2707109451293945,0
2003-01-10,2.2707109451293945,0
2003-01-13,2.2707109451293945,0
2003-01-14,2.2707109451293945,0
2003-01-15,2.2707109451293945,0
2003-01-16,2.2707109451293945,0
2003-01-17,2.2707109451293945,0
2003-01-20,2.2707109451293945,0
2003-01-21,2.2707109451293945,0
2003-01-22,2.2707109451293945,0
2003-01-23,2.2707109451293945,0
2003-01-24,2.2707109451293945,0
